[143.75, 146.125, 154.0]
[143.125, 163.0, 163.5625]
[121.6875, 175.8125, 174.75]
[121.6875, 175.8125, 174.75]
[121.6875, 175.8125, 174.75]
[104.8125, 188.5625, 184.75]
[104.8125, 188.5625, 184.75]
[104.8125, 188.5625, 184.75]
[104.8125, 188.5625, 184.75]
[90.3125, 193.75, 185.5625]
[90.3125, 193.75, 185.5625]
[90.3125, 193.75, 185.5625]
[90.3125, 193.75, 185.5625]
[90.3125, 193.75, 185.5625]
[45.875, 174.3125, 167.0]
[45.875, 174.3125, 167.0]
[45.875, 174.3125, 167.0]
[22.8125, 164.5625, 150.625]
[9.875, 149.75, 138.875]
[9.875, 149.75, 138.875]
[9.875, 149.75, 138.875]
[11.0, 136.125, 124.5625]
[11.0, 136.125, 124.5625]
[2.9375, 121.9375, 108.5]
[2.9375, 121.9375, 108.5]
[2.9375, 121.9375, 108.5]
[-17.6875, 106.4375, 95.375]
[-17.6875, 106.4375, 95.375]
[-17.6875, 106.4375, 95.375]
[-17.6875, 106.4375, 95.375]
[-23.5, 79.25, 73.3125]
[-23.5, 79.25, 73.3125]
[-33.1875, 66.75, 62.5]
[-33.1875, 66.75, 62.5]
[-38.6875, 45.875, 48.25]
[-38.6875, 45.875, 48.25]
[-21.125, 30.1875, 41.5625]
[-21.125, 30.1875, 41.5625]
[-33.5, 11.4375, 36.5]
[-33.5, 11.4375, 36.5]
[-37.1875, -5.5625, 40.6875]
[-37.1875, -5.5625, 40.6875]
[-19.9375, -6.875, 34.5]
[-19.9375, -6.875, 34.5]
[-7.9375, 16.4375, -0.9375]
[-7.9375, 16.4375, -0.9375]
[-44.8125, 23.0, -33.375]
[-44.8125, 23.0, -33.375]
[-86.0625, -17.75, -41.625]
[-86.0625, -17.75, -41.625]
[-69.6875, -53.0625, 20.0625]
[-69.6875, -53.0625, 20.0625]
[-69.6875, -53.0625, 20.0625]
[-40.5625, -62.875, 80.4375]
[115.625, -62.125, 109.1875]
[115.625, -62.125, 109.1875]
[115.625, -62.125, 109.1875]
[55.4375, -48.875, 55.625]
[55.4375, -48.875, 55.625]
[-50.125, -48.75, -2.25]
[-50.125, -48.75, -2.25]
