[17.4375, -5.9375, 0.3125]
[17.4375, -5.9375, 0.3125]
[21.1875, -10.0, -1.625]
[21.1875, -10.0, -1.625]
[21.1875, -10.0, -1.625]
[28.1875, -14.625, -3.0]
[28.1875, -14.625, -3.0]
[28.1875, -14.625, -3.0]
[33.9375, -10.625, 1.8125]
[33.9375, -10.625, 1.8125]
[33.9375, -10.625, 1.8125]
[33.9375, -10.625, 1.8125]
[33.9375, -10.625, 1.8125]
[87.25, 44.0625, 79.4375]
[87.25, 44.0625, 79.4375]
[87.25, 44.0625, 79.4375]
[87.25, 44.0625, 79.4375]
[87.25, 44.0625, 79.4375]
[150.5625, 130.0, 177.0625]
[150.5625, 130.0, 177.0625]
[162.3125, 159.0, 220.5625]
[193.1875, 187.375, 257.9375]
[193.1875, 187.375, 257.9375]
[193.1875, 187.375, 257.9375]
[207.6875, 194.375, 252.1875]
[207.6875, 194.375, 252.1875]
[202.75, 203.9375, 235.3125]
[202.75, 203.9375, 235.3125]
[164.3125, 199.625, 221.3125]
[164.3125, 199.625, 221.3125]
[134.1875, 184.625, 209.5625]
[134.1875, 184.625, 209.5625]
[106.4375, 161.0625, 190.625]
[106.4375, 161.0625, 190.625]
[89.1875, 129.875, 170.875]
[89.1875, 129.875, 170.875]
[96.375, 111.9375, 149.5]
[96.375, 111.9375, 149.5]
[97.625, 83.125, 129.8125]
[78.9375, 52.1875, 106.1875]
[78.9375, 52.1875, 106.1875]
[78.9375, 52.1875, 106.1875]
[57.375, 31.5625, 85.25]
[57.375, 31.5625, 85.25]
[41.8125, 14.0, 60.9375]
[43.75, 3.75, 44.1875]
[43.75, 3.75, 44.1875]
[43.75, 3.75, 44.1875]
[37.75, -1.6875, 29.25]
[37.75, -1.6875, 29.25]
[37.75, -1.6875, 29.25]
[16.8125, -8.375, 20.5]
[1.5, -4.5625, 15.6875]
[1.5, -4.5625, 15.6875]
[10.6875, 4.375, 9.25]
[10.6875, 4.375, 9.25]
[20.6875, 14.875, 1.125]
[12.4375, 19.1875, -7.625]
[12.4375, 19.1875, -7.625]
[12.4375, 19.1875, -7.625]
[6.5, 20.125, -19.1875]
[6.5, 20.125, -19.1875]
[10.5, 29.125, -33.375]
[24.3125, 50.4375, -41.5]
[24.3125, 50.4375, -41.5]
[24.3125, 50.4375, -41.5]
[39.1875, 64.8125, -51.3125]
[39.1875, 64.8125, -51.3125]
[50.3125, 70.5, -63.5625]
[40.4375, 74.9375, -66.0]
[40.4375, 74.9375, -66.0]
[40.4375, 74.9375, -66.0]
[60.5625, 78.3125, -47.375]
[60.5625, 78.3125, -47.375]
[98.5, 83.5, -64.0625]
[99.75, 80.875, -90.125]
[99.75, 80.875, -90.125]
[99.75, 80.875, -90.125]
[107.0, 84.0625, -96.625]
[107.0, 84.0625, -96.625]
[107.0, 84.0625, -96.625]
[128.5625, 82.9375, -116.5625]
[153.875, 80.875, -129.5]
[153.875, 80.875, -129.5]
[166.6875, 88.875, -116.9375]
[166.6875, 88.875, -116.9375]
[168.5, 109.3125, -82.3125]
[168.5, 109.3125, -82.3125]
[159.5625, 127.375, -61.0625]
[159.5625, 127.375, -61.0625]
[143.75, 137.5625, -53.25]
[143.75, 137.5625, -53.25]
[145.3125, 128.4375, -70.1875]
[145.3125, 128.4375, -70.1875]
[145.3125, 128.4375, -70.1875]
[106.5625, 72.1875, -138.3125]
[106.5625, 72.1875, -138.3125]
[35.0625, 33.125, -161.4375]
[35.0625, 33.125, -161.4375]
[35.0625, 33.125, -161.4375]
[-36.25, 9.0625, -149.3125]
[-46.1875, 15.875, -116.8125]
[-46.1875, 15.875, -116.8125]
[-46.1875, 15.875, -116.8125]
[17.0, 14.9375, -53.9375]
[17.0, 14.9375, -53.9375]
[50.625, 1.6875, 0.5]
[-8.125, -24.25, 19.875]
[-8.125, -24.25, 19.875]
[-30.5, -47.875, 20.5625]
[-30.5, -47.875, 20.5625]
[-26.4375, -62.0625, 4.5]
[-41.75, -66.0, -30.0]
[-41.75, -66.0, -30.0]
[-56.125, -56.375, -79.9375]
[-56.125, -56.375, -79.9375]
[-56.125, -56.375, -79.9375]
[-63.25, -44.625, -104.5]
[-51.0, -33.25, -80.5625]
[-51.0, -33.25, -80.5625]
[-19.0625, -20.25, -66.0625]
[-19.0625, -20.25, -66.0625]
[-19.0625, -20.25, -66.0625]
[6.8125, -7.4375, -60.4375]
[7.8125, -6.8125, -45.9375]
[7.8125, -6.8125, -45.9375]
[12.5, -4.4375, -30.125]
[12.5, -4.4375, -30.125]
[13.0, -8.25, -15.4375]
[13.0, -8.25, -15.4375]
[8.75, -18.8125, 4.5625]
[8.75, -18.8125, 4.5625]
[10.5, -38.3125, 27.9375]
[10.5, -38.3125, 27.9375]
[10.5, -38.3125, 27.9375]
[-10.4375, -62.6875, 39.0]
[-37.5625, -86.875, 42.625]
[-37.5625, -86.875, 42.625]
[-51.0625, -109.0, 33.0]
[-51.0625, -109.0, 33.0]
[-65.125, -143.6875, 12.8125]
[-92.3125, -189.75, -11.5625]
[-92.3125, -189.75, -11.5625]
[-92.3125, -189.75, -11.5625]
[-118.875, -237.6875, -34.8125]
[-118.875, -237.6875, -34.8125]
[-137.625, -281.3125, -54.1875]
[-137.625, -281.3125, -54.1875]
[-157.125, -327.625, -79.9375]
[-157.125, -327.625, -79.9375]
[-195.6875, -369.8125, -116.5]
[-195.6875, -369.8125, -116.5]
[-207.625, -385.0625, -155.5]
[-207.625, -385.0625, -155.5]
[-188.0625, -364.1875, -180.25]
[-188.0625, -364.1875, -180.25]
[-156.1875, -352.0625, -185.0625]
[-156.1875, -352.0625, -185.0625]
[-156.1875, -352.0625, -185.0625]
[-99.375, -310.875, -165.5]
[-99.375, -310.875, -165.5]
[-42.0625, -246.1875, -119.9375]
[-42.0625, -246.1875, -119.9375]
[-46.5625, -188.625, -92.1875]
[-46.5625, -188.625, -92.1875]
[-58.5, -146.75, -77.75]
[-58.5, -146.75, -77.75]
[-50.5, -111.4375, -64.0]
[-50.5, -111.4375, -64.0]
[-26.375, -79.0625, -37.875]
[-21.4375, -47.1875, -18.125]
[-21.4375, -47.1875, -18.125]
[-29.8125, -25.375, -4.0625]
[-29.8125, -25.375, -4.0625]
[-29.8125, -25.375, -4.0625]
