[-35.875, -48.375, -87.5625]
[-35.875, -48.375, -87.5625]
[-33.125, -38.3125, -66.1875]
[-33.125, -38.3125, -66.1875]
[-33.125, -38.3125, -66.1875]
[-27.9375, -25.3125, -51.625]
[-27.9375, -25.3125, -51.625]
[-23.0625, -16.9375, -42.125]
[-23.0625, -16.9375, -42.125]
[-23.0625, -16.9375, -42.125]
[-29.6875, -5.9375, -18.4375]
[-29.6875, -5.9375, -18.4375]
[-33.1875, 4.375, -6.75]
[-33.1875, 4.375, -6.75]
[-33.1875, 4.375, -6.75]
[-31.0, 16.1875, 0.6875]
[-31.0, 16.1875, 0.6875]
[-30.6875, 21.3125, -2.6875]
[-30.9375, 14.125, -3.375]
[-30.9375, 14.125, -3.375]
[-27.875, 5.4375, 6.25]
[-27.875, 5.4375, 6.25]
[-13.4375, 2.1875, 11.5]
[-13.4375, 2.1875, 11.5]
[4.6875, 4.0625, 7.875]
[4.6875, 4.0625, 7.875]
[7.6875, 1.875, -0.0625]
[7.6875, 1.875, -0.0625]
[7.5625, -4.75, -3.3125]
[7.5625, -4.75, -3.3125]
[17.6875, -4.9375, 0.9375]
[17.6875, -4.9375, 0.9375]
[29.625, 2.9375, 6.375]
[29.625, 2.9375, 6.375]
[29.625, 2.9375, 6.375]
[35.375, 12.625, 16.875]
[35.375, 12.625, 16.875]
[35.375, 12.625, 16.875]
[33.25, 22.75, 36.1875]
[47.0, 39.6875, 57.25]
[70.0, 60.5, 79.9375]
[70.0, 60.5, 79.9375]
[70.0, 60.5, 79.9375]
[70.0, 60.5, 79.9375]
[118.4375, 93.8125, 97.4375]
[118.4375, 93.8125, 97.4375]
[125.3125, 102.4375, 101.5625]
[125.3125, 102.4375, 101.5625]
[125.3125, 102.4375, 101.5625]
[122.0, 118.0, 100.6875]
[122.0, 118.0, 100.6875]
[89.6875, 116.4375, 90.1875]
[89.6875, 116.4375, 90.1875]
[89.6875, 116.4375, 90.1875]
[15.8125, 103.25, 80.5625]
[-73.125, 109.5625, 97.5]
[-73.125, 109.5625, 97.5]
[-73.125, 109.5625, 97.5]
[-124.375, 137.9375, 115.25]
[-124.375, 137.9375, 115.25]
[-130.9375, 139.6875, 91.4375]
[-130.9375, 139.6875, 91.4375]
[-135.0625, 34.1875, 51.8125]
[-135.0625, 34.1875, 51.8125]
[-125.5, -80.625, 82.625]
[-125.5, -80.625, 82.625]
[-79.6875, -66.8125, 121.0]
[-79.6875, -66.8125, 121.0]
[-38.875, 9.6875, 109.3125]
[-38.875, 9.6875, 109.3125]
[145.5, 73.4375, 57.0]
[165.5, 32.1875, -22.25]
[165.5, 32.1875, -22.25]
[165.5, 32.1875, -22.25]
[26.4375, -36.25, -54.6875]
[26.4375, -36.25, -54.6875]
[-32.0, -49.5625, -52.5]
[-32.0, -49.5625, -52.5]
[10.5625, -19.9375, -35.6875]
[10.5625, -19.9375, -35.6875]
[49.5, -9.25, -26.6875]
[49.5, -9.25, -26.6875]
[49.5, -9.25, -26.6875]
[49.625, -26.8125, -26.375]
[49.625, -26.8125, -26.375]
[49.625, -26.8125, -26.375]
[81.875, -22.4375, -14.8125]
[81.875, -22.4375, -14.8125]
[81.875, -22.4375, -14.8125]
[115.5, -16.0, 0.1875]
[98.125, -7.0625, 10.25]
[98.125, -7.0625, 10.25]
[-9.875, 8.1875, 18.75]
[-9.875, 8.1875, 18.75]
[-102.75, 48.5625, 41.0625]
[-139.25, 86.8125, 64.5]
[-139.25, 86.8125, 64.5]
[-139.25, 86.8125, 64.5]
[-133.0, 41.875, 55.3125]
[-133.0, 41.875, 55.3125]
[-133.0, 41.875, 55.3125]
[-144.0, -68.75, 64.375]
[-144.0, -68.75, 64.375]
[-144.0, -68.75, 64.375]
[-76.375, -15.5625, 141.25]
[-76.375, -15.5625, 141.25]
[7.4375, 55.3125, 99.0]
[7.4375, 55.3125, 99.0]
[119.125, 47.1875, 21.125]
[119.125, 47.1875, 21.125]
[35.25, -33.9375, -4.625]
[35.25, -33.9375, -4.625]
[1.3125, -69.1875, -1.875]
[1.3125, -69.1875, -1.875]
[25.6875, -54.625, -23.4375]
[25.6875, -54.625, -23.4375]
[6.25, -50.25, -22.9375]
[6.25, -50.25, -22.9375]
[6.25, -50.25, -22.9375]
[-24.375, -59.0, -18.1875]
[-24.375, -59.0, -18.1875]
[-38.875, -69.25, -7.6875]
[-38.875, -69.25, -7.6875]
[-19.8125, -73.0625, 9.8125]
[9.4375, -76.0, 26.625]
[9.4375, -76.0, 26.625]
[-16.0, -103.0625, 30.1875]
[-16.0, -103.0625, 30.1875]
[-36.625, -108.6875, 47.625]
[-36.625, -108.6875, 47.625]
[-36.625, -108.6875, 47.625]
[-34.4375, -15.9375, 10.875]
[-34.4375, -15.9375, 10.875]
[-14.5625, -5.0625, -7.375]
[-14.5625, -5.0625, -7.375]
[-14.5625, -5.0625, -7.375]
[-3.375, -5.375, -6.8125]
[-3.375, -5.375, -6.8125]
[-3.375, -5.375, -6.8125]
[10.4375, 4.0625, -5.5625]
[2.0, 3.5625, 2.25]
[2.0, 3.5625, 2.25]
[2.0625, 2.875, 5.125]
[2.0625, 2.875, 5.125]
[0.1875, 1.125, 1.8125]
[-0.5625, -0.125, -1.125]
[-0.5625, -0.125, -1.125]
[-0.625, 2.3125, 0.4375]
[-0.625, 2.3125, 0.4375]
[-0.625, 2.3125, 0.4375]
[-1.5625, 4.3125, 2.3125]
[-4.25, 4.1875, 2.75]
[-4.25, 4.1875, 2.75]
[-7.5, 3.375, 0.25]
[-7.5, 3.375, 0.25]
[-7.5, 3.375, 0.25]
[-9.5625, 2.875, -1.5625]
[-9.5625, 2.875, -1.5625]
[-10.875, 0.8125, -0.3125]
[-10.875, 0.8125, -0.3125]
[-10.875, 0.8125, -0.3125]
[-9.9375, 0.875, 1.0]
[-7.125, 4.0625, -3.3125]
[-5.0, 7.0625, -9.375]
[-5.0, 7.0625, -9.375]
[-6.875, 7.1875, -19.0625]
[-6.875, 7.1875, -19.0625]
[-10.3125, 5.5, -29.125]
[-10.3125, 5.5, -29.125]
[-16.25, 3.9375, -40.375]
[-16.25, 3.9375, -40.375]
[-23.5, -0.3125, -57.5625]
[-23.5, -0.3125, -57.5625]
[-27.375, -8.75, -77.875]
[-27.375, -8.75, -77.875]
[-24.0625, -16.9375, -93.0]
[-24.0625, -16.9375, -93.0]
[-20.9375, -20.875, -113.5625]
[-20.9375, -20.875, -113.5625]
[-20.9375, -20.875, -113.5625]
[-34.625, -30.625, -136.4375]
[-34.625, -30.625, -136.4375]
[-45.5625, -38.5625, -140.625]
[-45.5625, -38.5625, -140.625]
[-7.625, -23.9375, -148.0]
[-7.625, -23.9375, -148.0]
[-14.625, -29.125, -163.1875]
[-14.625, -29.125, -163.1875]
[-54.75, -42.1875, -158.375]
[-54.75, -42.1875, -158.375]
[-54.75, -42.1875, -158.375]
[-63.625, -35.1875, -139.25]
[-63.625, -35.1875, -139.25]
[-63.625, -35.1875, -139.25]
[0.4375, -8.75, -114.25]
[0.4375, -8.75, -114.25]
[0.4375, -8.75, -114.25]
[-20.375, -17.625, -100.5]
[-48.8125, -21.0625, -82.375]
[-48.8125, -21.0625, -82.375]
[-46.6875, -12.0, -66.5625]
[-16.5625, -2.25, -45.125]
[-16.5625, -2.25, -45.125]
[-16.5625, -2.25, -45.125]
[-16.5625, -2.25, -45.125]
[-16.5625, -2.25, -45.125]
[-28.25, -12.3125, -18.5625]
[-28.25, -12.3125, -18.5625]
[-28.25, -12.3125, -18.5625]
[-42.125, -9.3125, -10.5625]
[-52.5, -1.125, -8.625]
