[16.125, -26.875, 87.3125]
[10.9375, -23.6875, 88.4375]
[10.9375, -23.6875, 88.4375]
[-12.4375, -29.1875, 79.8125]
[-12.4375, -29.1875, 79.8125]
[-41.3125, -36.25, 99.4375]
[-41.3125, -36.25, 99.4375]
[-18.0, -37.5, 128.25]
[-18.0, -37.5, 128.25]
[94.3125, -15.875, 143.0625]
[94.3125, -15.875, 143.0625]
[81.1875, -8.4375, 99.8125]
[81.1875, -8.4375, 99.8125]
[-25.6875, -28.9375, 49.1875]
[-25.6875, -28.9375, 49.1875]
[-26.5625, -35.4375, 30.6875]
[-26.5625, -35.4375, 30.6875]
[13.375, -16.1875, 20.5625]
[13.375, -16.1875, 20.5625]
[-0.6875, -10.5, 1.5]
[-0.6875, -10.5, 1.5]
[-7.8125, -13.6875, -9.875]
[-7.8125, -13.6875, -9.875]
[-17.6875, -15.5, -14.125]
[-17.6875, -15.5, -14.125]
[-16.5, -8.5625, -12.875]
[-16.5, -8.5625, -12.875]
[-8.4375, 0.5, -13.5625]
[-8.4375, 0.5, -13.5625]
[-4.1875, 1.8125, -19.3125]
[-4.1875, 1.8125, -19.3125]
[-14.5625, -4.125, -28.1875]
[-14.5625, -4.125, -28.1875]
[-24.0625, -10.375, -35.0]
[-24.0625, -10.375, -35.0]
[-25.8125, -14.375, -38.25]
[-25.8125, -14.375, -38.25]
[-20.6875, -18.5625, -44.0]
[-20.6875, -18.5625, -44.0]
[-19.9375, -26.375, -55.9375]
[-19.9375, -26.375, -55.9375]
[-25.9375, -44.75, -71.5]
[-25.9375, -44.75, -71.5]
[-38.875, -70.3125, -91.375]
[-38.875, -70.3125, -91.375]
[-61.6875, -92.0625, -115.9375]
[-78.625, -101.5, -132.5]
[-78.625, -101.5, -132.5]
[-78.625, -101.5, -132.5]
[-78.8125, -100.625, -142.1875]
[-78.8125, -100.625, -142.1875]
[-70.5625, -96.125, -147.6875]
[-84.3125, -96.625, -154.6875]
[-84.3125, -96.625, -154.6875]
[-84.3125, -96.625, -154.6875]
[-84.3125, -96.625, -154.6875]
[-116.8125, -99.3125, -158.3125]
[-116.8125, -99.3125, -158.3125]
[-121.4375, -97.4375, -157.9375]
[-121.4375, -97.4375, -157.9375]
[-104.1875, -70.125, -149.25]
[-104.1875, -70.125, -149.25]
[-104.1875, -70.125, -149.25]
[-93.5625, -59.3125, -132.8125]
[-93.5625, -59.3125, -132.8125]
[-92.1875, -54.5, -119.625]
[-92.1875, -54.5, -119.625]
[-94.75, -46.375, -103.75]
[-94.75, -46.375, -103.75]
[-81.5, -32.125, -94.625]
[-81.5, -32.125, -94.625]
[-71.0, -23.75, -85.1875]
[-61.8125, -17.5, -73.4375]
[-61.8125, -17.5, -73.4375]
[-58.5625, -13.3125, -60.5625]
[-58.5625, -13.3125, -60.5625]
[-58.5, -3.625, -48.3125]
[-58.5, -3.625, -48.3125]
[-45.8125, 3.125, -40.75]
[-45.8125, 3.125, -40.75]
[-45.8125, 3.125, -40.75]
[-53.9375, 12.25, -36.875]
[-86.75, 9.75, -30.875]
[-86.75, 9.75, -30.875]
[-86.75, 9.75, -30.875]
[-82.9375, 18.0625, -20.4375]
[-82.9375, 18.0625, -20.4375]
[-50.0, 30.4375, -13.375]
[-50.0, 30.4375, -13.375]
[-28.5625, 35.75, -6.5]
[-25.0, 27.3125, -4.9375]
[-25.0, 27.3125, -4.9375]
[-21.9375, 15.375, -2.125]
[-21.9375, 15.375, -2.125]
[-21.9375, 15.375, -2.125]
[-16.25, 5.5625, 2.9375]
[-16.25, 5.5625, 2.9375]
[-16.25, 5.5625, 2.9375]
[-9.125, 1.8125, 6.875]
[-9.125, 1.8125, 6.875]
[-5.75, 3.9375, 11.25]
[-5.75, 3.9375, 11.25]
[4.625, 4.9375, 10.375]
[4.625, 4.9375, 10.375]
