[1.0, 0.5, 5.25]
[1.0, 0.5, 5.25]
[1.0, 0.5, 5.25]
[-6.6875, -1.125, 2.5625]
[-6.6875, -1.125, 2.5625]
[-5.0625, 1.625, 0.9375]
[-5.0625, 1.625, 0.9375]
[-5.0625, 1.625, 0.9375]
[-5.0625, 1.625, 0.9375]
[-6.0625, 0.8125, 0.75]
[-6.0625, 0.8125, 0.75]
[-5.3125, 1.0, -1.625]
[-5.3125, 1.0, -1.625]
[-5.3125, 1.0, -1.625]
[-5.3125, 1.0, -1.625]
[0.0, 3.375, -6.625]
[0.0, 3.375, -6.625]
[7.875, 0.1875, -5.0625]
[7.875, 0.1875, -5.0625]
[7.875, 0.1875, -5.0625]
[7.875, 0.1875, -5.0625]
[13.5625, -8.9375, -8.1875]
[13.5625, -8.9375, -8.1875]
[13.5625, -8.9375, -8.1875]
[17.4375, -12.3125, -13.75]
[17.4375, -12.3125, -13.75]
[17.4375, -12.3125, -13.75]
[17.4375, -12.3125, -13.75]
[17.4375, -12.3125, -13.75]
[7.9375, -0.9375, -29.5]
[7.9375, -0.9375, -29.5]
[7.9375, -0.9375, -29.5]
[7.9375, -0.9375, -29.5]
[7.9375, -0.9375, -29.5]
[61.8125, 33.1875, -7.1875]
[113.5, 48.8125, 21.75]
[113.5, 48.8125, 21.75]
[148.125, 57.625, 52.5]
[148.125, 57.625, 52.5]
[163.625, 78.4375, 104.75]
[163.625, 78.4375, 104.75]
[176.625, 115.125, 166.4375]
[176.625, 115.125, 166.4375]
[198.125, 160.0, 208.1875]
[198.125, 160.0, 208.1875]
[198.125, 160.0, 208.1875]
[236.0, 206.8125, 253.875]
[236.0, 206.8125, 253.875]
[234.5, 221.5625, 254.125]
[234.5, 221.5625, 254.125]
[234.5, 221.5625, 254.125]
[227.625, 228.375, 241.0625]
[227.625, 228.375, 241.0625]
[227.625, 228.375, 241.0625]
[200.375, 218.5625, 219.5625]
[200.375, 218.5625, 219.5625]
[181.25, 204.25, 190.0]
[157.625, 183.5, 159.1875]
[157.625, 183.5, 159.1875]
[117.75, 155.8125, 133.0625]
[80.4375, 127.1875, 103.25]
[80.4375, 127.1875, 103.25]
[64.3125, 97.25, 72.5]
[64.3125, 97.25, 72.5]
[52.5625, 67.1875, 38.875]
[52.5625, 67.1875, 38.875]
[29.4375, 34.25, 5.9375]
[29.4375, 34.25, 5.9375]
[6.875, 1.875, -31.875]
[6.875, 1.875, -31.875]
[-13.5, -26.75, -76.3125]
[-13.5, -26.75, -76.3125]
[-13.5, -26.75, -76.3125]
[-30.125, -54.875, -125.1875]
[-30.125, -54.875, -125.1875]
[-44.25, -85.5625, -185.0625]
[-44.25, -85.5625, -185.0625]
[-59.875, -123.0, -249.375]
[-90.3125, -158.0625, -315.1875]
[-90.3125, -158.0625, -315.1875]
[-117.375, -177.8125, -382.3125]
[-117.375, -177.8125, -382.3125]
[-145.375, -191.0625, -442.375]
[-145.375, -191.0625, -442.375]
[-145.375, -191.0625, -442.375]
[-178.5, -203.3125, -506.5625]
[-178.5, -203.3125, -506.5625]
[-191.6875, -203.1875, -571.5625]
[-191.6875, -203.1875, -571.5625]
[-170.625, -195.3125, -629.25]
[-140.0625, -195.5, -651.5625]
[-140.0625, -195.5, -651.5625]
[-150.5, -205.1875, -648.3125]
[-150.5, -205.1875, -648.3125]
[-98.125, -145.875, -601.125]
[-98.125, -145.875, -601.125]
[-63.4375, -126.25, -575.125]
[-63.4375, -126.25, -575.125]
[-37.4375, -95.125, -529.625]
[-37.4375, -95.125, -529.625]
[-47.3125, -59.125, -440.0625]
[-47.3125, -59.125, -440.0625]
[-98.125, -62.0, -328.5]
[-98.125, -62.0, -328.5]
[-115.5625, -62.9375, -200.5]
[-115.5625, -62.9375, -200.5]
[-70.3125, -54.125, -81.0]
[-70.3125, -54.125, -81.0]
[-37.8125, -43.875, -0.3125]
[-37.8125, -43.875, -0.3125]
[-29.0, -24.875, 44.625]
[-29.0, -24.875, 44.625]
[-27.25, -3.75, 76.125]
[-27.25, -3.75, 76.125]
[-27.25, -3.75, 76.125]
[-28.0, 11.875, 106.5]
[-28.0, 11.875, 106.5]
[-34.5625, 21.5, 135.875]
[-43.1875, 29.625, 168.5625]
[-43.1875, 29.625, 168.5625]
[-52.4375, 31.0625, 205.25]
[-52.4375, 31.0625, 205.25]
[-48.1875, 22.5, 237.75]
[-14.1875, 16.875, 259.875]
[-14.1875, 16.875, 259.875]
[-14.1875, 16.875, 259.875]
[31.4375, 14.6875, 272.25]
[31.4375, 14.6875, 272.25]
[75.6875, 10.0, 282.0625]
[99.375, 3.875, 286.8125]
[99.375, 3.875, 286.8125]
[99.375, 3.875, 286.8125]
[98.8125, -4.125, 288.375]
[98.8125, -4.125, 288.375]
[79.875, -10.0625, 288.3125]
[79.875, -10.0625, 288.3125]
[63.5625, -17.0625, 282.75]
[63.5625, -17.0625, 282.75]
[56.375, -28.5, 272.3125]
[56.375, -28.5, 272.3125]
[56.375, -28.5, 272.3125]
[65.75, -47.0625, 232.625]
[65.75, -47.0625, 232.625]
[65.75, -47.0625, 232.625]
[67.125, -55.0625, 208.0]
[67.125, -55.0625, 208.0]
[60.5, -67.1875, 187.875]
[47.6875, -79.125, 168.0625]
[47.6875, -79.125, 168.0625]
[47.6875, -79.125, 168.0625]
[28.1875, -92.5625, 144.9375]
[28.1875, -92.5625, 144.9375]
[23.0, -101.5625, 118.9375]
[23.0, -101.5625, 118.9375]
[28.25, -104.8125, 94.125]
[28.25, -104.8125, 94.125]
[17.5625, -108.0625, 72.75]
[17.5625, -108.0625, 72.75]
[4.625, -109.5625, 50.4375]
[4.625, -109.5625, 50.4375]
[-7.125, -110.5625, 35.375]
