[21.625, -7.125, -1.0]
[21.625, -7.125, -1.0]
[21.625, -7.125, -1.0]
[24.875, -5.0625, -3.375]
[24.875, -5.0625, -3.375]
[24.875, -5.0625, -3.375]
[20.375, 0.6875, -4.3125]
[20.375, 0.6875, -4.3125]
[20.375, 0.6875, -4.3125]
[23.4375, 13.125, 0.5]
[23.4375, 13.125, 0.5]
[50.375, 32.0, 15.0]
[50.375, 32.0, 15.0]
[90.4375, 47.625, 27.375]
[90.4375, 47.625, 27.375]
[139.75, 79.5, 79.3125]
[139.75, 79.5, 79.3125]
[139.75, 79.5, 79.3125]
[139.75, 79.5, 79.3125]
[139.75, 79.5, 79.3125]
[139.75, 79.5, 79.3125]
[157.125, 98.625, 97.8125]
[157.125, 98.625, 97.8125]
[157.125, 98.625, 97.8125]
[130.625, 120.4375, 134.0]
[130.625, 120.4375, 134.0]
[130.625, 120.4375, 134.0]
[130.625, 120.4375, 134.0]
[134.4375, 145.125, 183.875]
[134.4375, 145.125, 183.875]
[134.4375, 145.125, 183.875]
[134.4375, 145.125, 183.875]
[185.875, 192.6875, 261.0625]
[185.875, 192.6875, 261.0625]
[185.875, 192.6875, 261.0625]
[178.8125, 180.6875, 240.5625]
[178.8125, 180.6875, 240.5625]
[173.625, 172.3125, 208.3125]
[173.625, 172.3125, 208.3125]
[109.4375, 131.9375, 149.75]
[109.4375, 131.9375, 149.75]
[80.375, 104.8125, 121.6875]
[80.375, 104.8125, 121.6875]
[72.375, 84.4375, 89.1875]
[72.375, 84.4375, 89.1875]
[56.5, 58.6875, 53.3125]
[56.5, 58.6875, 53.3125]
[56.5, 58.6875, 53.3125]
[29.0625, 28.75, 16.6875]
[29.0625, 28.75, 16.6875]
[0.5625, 1.5625, -18.6875]
[0.5625, 1.5625, -18.6875]
[-26.25, -23.25, -58.125]
[-26.25, -23.25, -58.125]
[-43.0, -46.875, -106.6875]
[-43.0, -46.875, -106.6875]
[-57.25, -74.0625, -163.125]
[-57.25, -74.0625, -163.125]
[-81.0625, -101.375, -225.125]
[-113.1875, -127.0625, -291.1875]
[-113.1875, -127.0625, -291.1875]
[-137.5, -145.8125, -364.5625]
[-137.5, -145.8125, -364.5625]
[-137.5, -145.8125, -364.5625]
[-158.0625, -151.25, -444.5]
[-158.0625, -151.25, -444.5]
[-177.9375, -154.875, -524.125]
[-177.9375, -154.875, -524.125]
[-177.9375, -154.875, -524.125]
[-210.25, -123.5, -653.3125]
[-210.25, -123.5, -653.3125]
[-196.8125, -121.625, -696.625]
[-196.8125, -121.625, -696.625]
[-170.1875, -116.1875, -678.0]
[-170.1875, -116.1875, -678.0]
[-170.1875, -116.1875, -678.0]
[-112.375, -89.375, -640.8125]
[-112.375, -89.375, -640.8125]
[-122.625, -89.375, -640.875]
[-122.625, -89.375, -640.875]
[-126.875, -52.8125, -570.5]
[-126.875, -52.8125, -570.5]
[-126.875, -52.8125, -570.5]
[-126.875, -52.8125, -570.5]
[-101.6875, -16.4375, -398.25]
[-101.6875, -16.4375, -398.25]
[-121.25, -21.375, -289.125]
[-121.25, -21.375, -289.125]
[-121.25, -21.375, -289.125]
[-48.125, -16.6875, -77.875]
[-48.125, -16.6875, -77.875]
[8.1875, -11.5, -22.75]
[8.1875, -11.5, -22.75]
[26.25, -2.9375, 16.5]
[26.25, -2.9375, 16.5]
[-1.3125, 6.1875, 49.625]
[-1.3125, 6.1875, 49.625]
[-40.4375, 13.125, 80.125]
[-40.4375, 13.125, 80.125]
[-48.5, 18.625, 108.0]
[-48.5, 18.625, 108.0]
[-39.5, 21.6875, 137.625]
[-39.5, 21.6875, 137.625]
[-34.1875, 22.375, 167.1875]
[-34.1875, 22.375, 167.1875]
[-28.0625, 19.3125, 197.1875]
[-28.0625, 19.3125, 197.1875]
[-15.375, 15.3125, 223.75]
[-15.375, 15.3125, 223.75]
[-15.375, 15.3125, 223.75]
[-15.375, 15.3125, 223.75]
[4.5625, 12.0, 244.875]
[4.5625, 12.0, 244.875]
[33.8125, 8.625, 266.6875]
[33.8125, 8.625, 266.6875]
[89.125, -1.5625, 286.1875]
[89.125, -1.5625, 286.1875]
[90.125, -9.125, 289.8125]
[90.125, -9.125, 289.8125]
[85.5625, -15.5625, 282.6875]
[85.5625, -15.5625, 282.6875]
[84.625, -20.5625, 278.1875]
[84.625, -20.5625, 278.1875]
[85.5625, -29.0, 272.125]
[85.5625, -29.0, 272.125]
[86.4375, -39.0, 261.8125]
[86.4375, -39.0, 261.8125]
[92.5625, -53.6875, 249.3125]
[92.5625, -53.6875, 249.3125]
[103.625, -63.125, 226.125]
[103.625, -63.125, 226.125]
[90.625, -75.875, 201.25]
[90.625, -75.875, 201.25]
[69.0625, -89.125, 181.5]
[69.0625, -89.125, 181.5]
[52.75, -103.3125, 161.6875]
[52.75, -103.3125, 161.6875]
[29.25, -117.5, 135.75]
[29.25, -117.5, 135.75]
[29.25, -117.5, 135.75]
[15.6875, -122.125, 107.625]
[15.6875, -122.125, 107.625]
[22.25, -118.8125, 83.875]
[22.3125, -113.4375, 64.25]
[22.3125, -113.4375, 64.25]
[1.25, -115.1875, 43.5625]
[1.25, -115.1875, 43.5625]
[-20.0, -113.8125, 23.6875]
[-20.0, -113.8125, 23.6875]
[-21.75, -100.5, 10.75]
[-21.75, -100.5, 10.75]
[-19.375, -87.75, 7.6875]
[-19.375, -87.75, 7.6875]
[-25.8125, -76.8125, 5.4375]
[-25.8125, -76.8125, 5.4375]
[-33.1875, -65.5625, 0.6875]
[-33.1875, -65.5625, 0.6875]
[-32.8125, -53.0, -3.8125]
[-32.8125, -53.0, -3.8125]
[-32.8125, -53.0, -3.8125]
[-36.4375, -41.375, -7.625]
[-39.25, -32.75, -9.75]
[-39.25, -32.75, -9.75]
[-39.25, -32.75, -9.75]
[-36.3125, -23.9375, -11.6875]
[-33.5625, -16.5, -14.1875]
[-33.5625, -16.5, -14.1875]
[-36.0625, -13.0625, -13.4375]
[-36.0625, -13.0625, -13.4375]
[-36.0625, -13.0625, -13.4375]
[-35.875, -11.1875, -8.6875]
[-35.875, -11.1875, -8.6875]
[-28.625, -9.4375, -6.25]
[-28.625, -9.4375, -6.25]
[-26.8125, -10.625, -7.9375]
[-26.8125, -10.625, -7.9375]
[-32.25, -12.125, -8.125]
[-28.375, -1.875, -4.25]
[-28.375, -1.875, -4.25]
[-24.75, 13.3125, -1.75]
[-24.75, 13.3125, -1.75]
[-32.0, 17.9375, 0.3125]
[-32.0, 17.9375, 0.3125]
[-25.125, 16.8125, 2.75]
[-25.125, 16.8125, 2.75]
[-11.9375, 16.0625, 6.0]
[-11.9375, 16.0625, 6.0]
[-6.0625, 17.5625, 4.9375]
[-6.0625, 17.5625, 4.9375]
[-6.0625, 17.5625, 4.9375]
[-5.9375, 16.4375, 3.4375]
[-5.9375, 16.4375, 3.4375]
[-5.9375, 16.4375, 3.4375]
[-5.75, 8.75, 2.1875]
[-1.6875, 2.75, 0.5625]
[-1.6875, 2.75, 0.5625]
[-1.6875, 2.75, 0.5625]
[10.4375, -1.3125, 3.1875]
[10.4375, -1.3125, 3.1875]
[13.1875, -7.625, 1.75]
[13.1875, -7.625, 1.75]
[13.1875, -7.625, 1.75]
[19.5625, -12.25, -0.9375]
[19.5625, -12.25, -0.9375]
[19.5625, -12.25, -0.9375]
[24.875, -13.4375, -3.0625]
[28.4375, -11.125, -3.875]
[24.375, -7.0625, -2.875]
[24.375, -7.0625, -2.875]
[20.9375, -3.0625, -3.3125]
[20.9375, -3.0625, -3.3125]
[30.6875, 2.75, 2.0]
[30.6875, 2.75, 2.0]
[49.0, 15.375, 14.9375]
[49.0, 15.375, 14.9375]
[88.4375, 33.375, 31.5625]
[88.4375, 33.375, 31.5625]
[114.25, 46.5, 40.5625]
[114.25, 46.5, 40.5625]
[119.8125, 53.125, 54.9375]
[119.8125, 53.125, 54.9375]
[119.8125, 53.125, 54.9375]
[135.3125, 58.875, 88.25]
[176.5625, 80.875, 128.0]
[176.5625, 80.875, 128.0]
[176.5625, 80.875, 128.0]
[176.5625, 80.875, 128.0]
[176.625, 106.875, 153.25]
[176.625, 106.875, 153.25]
[176.625, 106.875, 153.25]
[174.0, 167.4375, 244.9375]
[174.0, 167.4375, 244.9375]
[183.6875, 178.8125, 239.0625]
[183.6875, 178.8125, 239.0625]
[175.125, 171.8125, 234.8125]
[175.125, 171.8125, 234.8125]
[175.125, 171.8125, 234.8125]
[152.4375, 158.9375, 216.9375]
[132.4375, 145.5, 191.6875]
[114.8125, 130.75, 165.125]
[114.8125, 130.75, 165.125]
[114.8125, 130.75, 165.125]
[96.625, 116.5, 137.9375]
[96.625, 116.5, 137.9375]
[96.625, 116.5, 137.9375]
[74.625, 95.0, 108.0625]
[50.375, 70.5625, 78.3125]
[50.375, 70.5625, 78.3125]
[29.9375, 47.25, 44.25]
[29.9375, 47.25, 44.25]
[8.6875, 25.3125, 5.9375]
[8.6875, 25.3125, 5.9375]
[8.6875, 25.3125, 5.9375]
[-15.0625, 6.1875, -37.1875]
[-30.375, -13.0, -86.1875]
[-30.375, -13.0, -86.1875]
[-52.375, -35.6875, -143.625]
[-52.375, -35.6875, -143.625]
[-81.375, -57.4375, -207.625]
[-81.375, -57.4375, -207.625]
[-103.5, -82.8125, -279.4375]
[-103.5, -82.8125, -279.4375]
[-116.0, -110.3125, -361.375]
[-116.0, -110.3125, -361.375]
[-133.0, -132.8125, -451.0625]
[-133.0, -132.8125, -451.0625]
[-162.8125, -148.125, -537.3125]
[-162.8125, -148.125, -537.3125]
[-162.8125, -148.125, -537.3125]
[-201.25, -143.25, -686.5]
[-201.25, -143.25, -686.5]
[-175.3125, -130.5625, -737.25]
[-175.3125, -130.5625, -737.25]
[-175.3125, -130.5625, -737.25]
[-131.875, -131.1875, -759.1875]
[-131.875, -131.1875, -759.1875]
[-72.0, -129.125, -716.75]
[-72.0, -129.125, -716.75]
[-72.0, -129.125, -716.75]
[-72.0, -129.125, -716.75]
[-90.0625, -84.6875, -635.1875]
[-90.0625, -84.6875, -635.1875]
[-108.3125, -31.5625, -529.125]
[-108.3125, -31.5625, -529.125]
[-94.6875, -48.625, -382.75]
[-94.6875, -48.625, -382.75]
[-94.4375, -54.5625, -233.3125]
[-94.4375, -54.5625, -233.3125]
[-85.875, -41.375, -88.8125]
[-43.75, -36.25, -17.1875]
[-43.75, -36.25, -17.1875]
[-43.75, -36.25, -17.1875]
[10.875, -14.25, -4.25]
[39.6875, 1.6875, 6.875]
[39.6875, 1.6875, 6.875]
[14.25, 9.375, 19.4375]
[14.25, 9.375, 19.4375]
[14.25, 9.375, 19.4375]
[-44.9375, 14.875, 39.5625]
[-81.25, 21.375, 69.0625]
[-81.25, 21.375, 69.0625]
[-95.0, 26.8125, 103.625]
[-95.0, 26.8125, 103.625]
[-95.0, 26.8125, 103.625]
[-104.125, 28.625, 141.125]
[-112.4375, 25.0625, 180.3125]
[-112.4375, 25.0625, 180.3125]
[-110.25, 17.625, 218.0]
[-110.25, 17.625, 218.0]
[-110.25, 17.625, 218.0]
[-77.0625, 3.875, 254.5]
[-77.0625, 3.875, 254.5]
[-14.4375, -11.375, 280.4375]
[-14.4375, -11.375, 280.4375]
[57.4375, -22.125, 299.3125]
[57.4375, -22.125, 299.3125]
[99.0, -28.5, 311.875]
[105.75, -30.4375, 326.0625]
[105.75, -30.4375, 326.0625]
[92.125, -32.6875, 332.5625]
[92.125, -32.6875, 332.5625]
[92.125, -32.6875, 332.5625]
[94.5, -32.5625, 334.5625]
[105.6875, -36.5625, 327.1875]
[105.6875, -36.5625, 327.1875]
[102.125, -46.3125, 314.875]
[102.125, -46.3125, 314.875]
[96.6875, -58.1875, 291.6875]
[96.6875, -58.1875, 291.6875]
[81.125, -72.6875, 269.0625]
[81.125, -72.6875, 269.0625]
[67.25, -86.6875, 235.75]
[67.25, -86.6875, 235.75]
[63.625, -95.5625, 200.9375]
[63.625, -95.5625, 200.9375]
[61.9375, -108.0625, 170.0]
[61.9375, -108.0625, 170.0]
[43.75, -122.875, 149.625]
[43.75, -122.875, 149.625]
[35.0, -131.3125, 127.6875]
[35.0, -131.3125, 127.6875]
[16.625, -131.875, 94.0625]
[16.625, -131.875, 94.0625]
[27.875, -116.125, 58.0]
[27.875, -116.125, 58.0]
[22.9375, -106.5625, 37.0625]
[22.9375, -106.5625, 37.0625]
