[15.9375, -3.6875, -4.75]
[15.9375, -3.6875, -4.75]
[15.9375, -3.6875, -4.75]
[9.8125, 30.4375, -7.0625]
[9.8125, 30.4375, -7.0625]
[-1.5, 59.4375, -0.125]
[-1.5, 59.4375, -0.125]
[-1.5, 59.4375, -0.125]
[-1.5, 59.4375, -0.125]
[-0.9375, 118.6875, 14.5625]
[-0.9375, 118.6875, 14.5625]
[17.9375, 152.9375, 22.125]
[17.9375, 152.9375, 22.125]
[17.9375, 152.9375, 22.125]
[17.9375, 152.9375, 22.125]
[42.5, 197.9375, 38.1875]
[42.5, 197.9375, 38.1875]
[42.5, 197.9375, 38.1875]
[53.0, 213.8125, 48.3125]
[53.0, 213.8125, 48.3125]
[53.0, 213.8125, 48.3125]
[53.0, 213.8125, 48.3125]
[53.0, 213.8125, 48.3125]
[111.0, 231.4375, 71.125]
[111.0, 231.4375, 71.125]
[111.0, 231.4375, 71.125]
[111.0, 231.4375, 71.125]
[145.0, 227.1875, 80.625]
[145.0, 227.1875, 80.625]
[153.4375, 219.5625, 84.4375]
[153.4375, 219.5625, 84.4375]
[153.4375, 219.5625, 84.4375]
[154.1875, 204.0625, 103.25]
[154.1875, 204.0625, 103.25]
[154.1875, 204.0625, 103.25]
[158.375, 194.375, 107.3125]
[158.375, 194.375, 107.3125]
[158.375, 194.375, 107.3125]
[158.375, 194.375, 107.3125]
[153.75, 172.25, 124.6875]
[153.75, 172.25, 124.6875]
[153.75, 172.25, 124.6875]
[153.75, 172.25, 124.6875]
[153.75, 172.25, 124.6875]
[134.75, 151.125, 140.3125]
[134.75, 151.125, 140.3125]
[134.75, 151.125, 140.3125]
[120.5625, 143.0, 148.125]
[120.5625, 143.0, 148.125]
[120.5625, 143.0, 148.125]
[120.5625, 143.0, 148.125]
[98.3125, 128.1875, 165.8125]
[91.625, 119.75, 165.4375]
[91.625, 119.75, 165.4375]
[91.625, 119.75, 165.4375]
[91.625, 119.75, 165.4375]
[91.625, 119.75, 165.4375]
[31.5625, 91.6875, 147.625]
[31.5625, 91.6875, 147.625]
[31.5625, 91.6875, 147.625]
[12.8125, 80.5, 138.6875]
[12.8125, 80.5, 138.6875]
[12.8125, 80.5, 138.6875]
[34.0, 53.375, 74.8125]
[20.125, 37.9375, 31.375]
[20.125, 37.9375, 31.375]
[20.125, 37.9375, 31.375]
[20.125, 37.9375, 31.375]
[-13.9375, 38.6875, -21.125]
[-13.9375, 38.6875, -21.125]
[26.5625, 22.5, 0.1875]
[26.5625, 22.5, 0.1875]
[26.5625, 22.5, 0.1875]
[26.5625, 22.5, 0.1875]
[61.0625, -30.625, -32.75]
[61.0625, -30.625, -32.75]
[61.0625, -30.625, -32.75]
[17.75, -58.5, -58.75]
[17.75, -58.5, -58.75]
[17.75, -58.5, -58.75]
[17.75, -58.5, -58.75]
[-56.125, -15.375, -23.5625]
[-56.125, -15.375, -23.5625]
[-56.125, -15.375, -23.5625]
[-4.0, 52.4375, 15.0]
[-4.0, 52.4375, 15.0]
[-38.9375, 33.0625, 46.1875]
[-38.9375, 33.0625, 46.1875]
[-41.4375, 35.125, 52.0625]
[-41.4375, 35.125, 52.0625]
[-3.6875, 65.0625, 26.1875]
[-3.6875, 65.0625, 26.1875]
[11.4375, 76.6875, -13.6875]
[-10.125, 59.1875, -26.8125]
[-10.125, 59.1875, -26.8125]
[-10.125, 59.1875, -26.8125]
[-14.4375, 23.625, -20.4375]
[-14.4375, 23.625, -20.4375]
[-14.4375, 23.625, -20.4375]
[10.375, -7.125, -16.3125]
[32.25, -43.3125, -36.1875]
[32.25, -43.3125, -36.1875]
[39.5625, -88.875, -58.8125]
[39.5625, -88.875, -58.8125]
[3.625, -129.1875, -78.125]
[-50.0625, -135.625, -80.125]
[-50.0625, -135.625, -80.125]
[-50.0625, -135.625, -80.125]
[-50.0625, -135.625, -80.125]
[-50.0625, -135.625, -80.125]
[-79.5, -112.375, -76.25]
[-79.5, -112.375, -76.25]
[-79.9375, -86.4375, -58.4375]
[-79.9375, -86.4375, -58.4375]
[-80.1875, -99.75, -43.0]
[-80.1875, -99.75, -43.0]
[-143.5, -167.125, -65.25]
[-143.5, -167.125, -65.25]
[-154.4375, -195.1875, -86.1875]
[-154.4375, -195.1875, -86.1875]
[-158.0, -228.5, -96.875]
[-158.0, -228.5, -96.875]
[-171.75, -254.375, -101.3125]
[-171.75, -254.375, -101.3125]
[-207.375, -268.3125, -110.25]
[-229.375, -279.5, -119.25]
[-229.375, -279.5, -119.25]
[-229.375, -279.5, -119.25]
[-219.25, -289.4375, -113.4375]
[-219.25, -289.4375, -113.4375]
[-202.0625, -295.125, -105.875]
[-202.0625, -295.125, -105.875]
[-204.4375, -293.875, -112.375]
[-217.1875, -284.0625, -118.75]
[-217.1875, -284.0625, -118.75]
[-201.75, -244.4375, -111.4375]
[-201.75, -244.4375, -111.4375]
[-158.5625, -201.8125, -109.9375]
[-158.5625, -201.8125, -109.9375]
[-124.75, -168.0, -115.125]
[-124.75, -168.0, -115.125]
[-148.5, -166.5625, -114.875]
[-148.5, -166.5625, -114.875]
[-204.1875, -169.9375, -95.625]
[-204.1875, -169.9375, -95.625]
[-135.6875, -131.375, -65.5]
[-135.6875, -131.375, -65.5]
[-49.625, -95.5, -35.1875]
[-49.625, -95.5, -35.1875]
[-66.25, -79.8125, -14.75]
[-66.25, -79.8125, -14.75]
[-107.5, -66.875, 4.375]
[-107.5, -66.875, 4.375]
[-94.875, -50.9375, 18.375]
[-94.875, -50.9375, 18.375]
[-55.8125, -34.4375, 25.0]
[-55.8125, -34.4375, 25.0]
[-55.8125, -34.4375, 25.0]
