[-41.5625, -8.5, 7.3125]
[-26.6875, -1.5, 5.375]
[-26.6875, -1.5, 5.375]
[-17.0, 6.1875, -2.625]
[-18.125, 8.5625, -6.8125]
[-18.125, 8.5625, -6.8125]
[-18.125, 8.5625, -6.8125]
[-24.8125, 3.25, -5.1875]
[-24.8125, 3.25, -5.1875]
[-22.25, -1.0625, -4.0]
[-11.375, -2.75, -1.375]
[-11.375, -2.75, -1.375]
[-11.375, -2.75, -1.375]
[3.5625, -4.0625, 3.625]
[10.1875, -8.125, 7.125]
[10.1875, -8.125, 7.125]
[10.625, -11.5625, 5.1875]
[10.625, -11.5625, 5.1875]
[10.625, -11.5625, 5.1875]
[10.1875, -14.0625, 1.25]
[17.0, -17.25, -0.6875]
[17.0, -17.25, -0.6875]
[23.1875, -19.75, -1.6875]
[23.1875, -19.75, -1.6875]
[23.1875, -19.75, -1.6875]
[28.5625, -24.5625, 1.1875]
[39.0625, -21.0625, 14.0625]
[39.0625, -21.0625, 14.0625]
[58.8125, -4.25, 33.6875]
[58.8125, -4.25, 33.6875]
[90.0625, 29.5625, 72.875]
[90.0625, 29.5625, 72.875]
[129.875, 65.1875, 120.625]
[129.875, 65.1875, 120.625]
[182.875, 103.4375, 163.625]
[182.875, 103.4375, 163.625]
[190.8125, 128.5, 200.625]
[190.8125, 128.5, 200.625]
[190.8125, 128.5, 200.625]
[227.4375, 154.25, 243.5625]
[282.1875, 180.375, 266.75]
[282.1875, 180.375, 266.75]
[309.75, 189.5625, 272.875]
[309.75, 189.5625, 272.875]
[333.5625, 191.4375, 275.9375]
[315.3125, 198.75, 266.5]
[315.3125, 198.75, 266.5]
[315.3125, 198.75, 266.5]
[254.0, 195.3125, 249.6875]
[254.0, 195.3125, 249.6875]
[213.6875, 196.0625, 220.5]
[213.6875, 196.0625, 220.5]
[193.625, 184.6875, 182.1875]
[193.625, 184.6875, 182.1875]
[174.3125, 161.9375, 143.375]
[174.3125, 161.9375, 143.375]
[141.875, 130.5625, 115.625]
[141.875, 130.5625, 115.625]
[108.0625, 96.4375, 103.5]
[108.0625, 96.4375, 103.5]
[77.0, 74.0, 94.375]
[77.0, 74.0, 94.375]
[65.875, 62.9375, 84.0]
[65.875, 62.9375, 84.0]
[75.3125, 60.8125, 70.9375]
[67.625, 56.0625, 57.5625]
[67.625, 56.0625, 57.5625]
[67.625, 56.0625, 57.5625]
[43.875, 43.875, 49.8125]
[43.875, 43.875, 49.8125]
[34.875, 33.875, 40.25]
[34.875, 33.875, 40.25]
[47.6875, 31.3125, 28.8125]
[43.0625, 19.5, 20.9375]
[43.0625, 19.5, 20.9375]
[36.3125, 7.8125, 13.375]
[36.3125, 7.8125, 13.375]
[28.625, 2.1875, 6.5]
[28.625, 2.1875, 6.5]
[23.4375, 3.0625, -0.75]
[23.4375, 3.0625, -0.75]
[23.4375, 3.0625, -0.75]
[39.4375, 8.5625, -13.375]
[36.8125, 18.75, -26.0]
[36.8125, 18.75, -26.0]
[36.3125, 35.9375, -30.375]
[36.3125, 35.9375, -30.375]
[53.5, 54.125, -30.5625]
[53.5, 54.125, -30.5625]
[68.75, 60.75, -45.0625]
[68.75, 60.75, -45.0625]
[62.5, 49.375, -39.375]
[62.5, 49.375, -39.375]
[98.75, 30.6875, -18.6875]
[98.75, 30.6875, -18.6875]
[150.75, 23.6875, -30.3125]
[150.75, 23.6875, -30.3125]
[147.0, 19.6875, -46.0]
[147.0, 19.6875, -46.0]
[146.5, 14.75, -64.5625]
[146.5, 14.75, -64.5625]
[146.5, 14.75, -64.5625]
[168.375, 17.8125, -63.3125]
[197.875, 31.5625, -61.5625]
[197.875, 31.5625, -61.5625]
[230.0625, 57.4375, -59.6875]
[230.0625, 57.4375, -59.6875]
[233.4375, 67.875, -74.875]
[233.4375, 67.875, -74.875]
[233.4375, 67.875, -74.875]
[226.625, 71.5625, -104.875]
[217.3125, 71.1875, -141.125]
[192.5, 53.3125, -166.8125]
[192.5, 53.3125, -166.8125]
[192.5, 53.3125, -166.8125]
[162.1875, 12.9375, -193.5625]
[127.625, -20.0625, -202.9375]
[127.625, -20.0625, -202.9375]
[46.5625, -62.0625, -200.375]
