[18.25, -12.4375, -14.0625]
[-24.4375, -23.375, -19.125]
[-24.4375, -23.375, -19.125]
[-16.5625, -14.75, -16.3125]
[-16.5625, -14.75, -16.3125]
[-5.75, -8.1875, -9.0]
[-5.75, -8.1875, -9.0]
[-13.8125, -11.125, -9.1875]
[-14.25, -13.6875, -9.0625]
[-14.25, -13.6875, -9.0625]
[-14.25, -13.6875, -9.0625]
[-0.0625, -11.1875, -13.0]
[-7.5625, -14.3125, -19.875]
[-7.5625, -14.3125, -19.875]
[-7.5625, -14.3125, -19.875]
[-9.875, -13.75, -13.75]
[7.8125, -19.3125, -6.75]
[7.8125, -19.3125, -6.75]
[7.8125, -19.3125, -6.75]
[4.0, -33.9375, 0.125]
[3.3125, -50.5625, 2.0625]
[3.3125, -50.5625, 2.0625]
[3.3125, -50.5625, 2.0625]
[5.75, -71.8125, 2.5625]
[5.75, -71.8125, 2.5625]
[9.0, -96.8125, 1.875]
[17.875, -122.4375, 1.75]
[17.875, -122.4375, 1.75]
[17.875, -122.4375, 1.75]
[28.8125, -150.5625, 3.6875]
[28.8125, -150.5625, 3.6875]
[28.8125, -150.5625, 3.6875]
[31.4375, -214.9375, 9.0625]
[31.4375, -214.9375, 9.0625]
[31.4375, -214.9375, 9.0625]
[36.125, -239.5, 10.75]
[36.125, -239.5, 10.75]
[32.1875, -254.0625, 11.5625]
[32.1875, -254.0625, 11.5625]
[31.5625, -263.5625, 13.0]
[31.5625, -263.5625, 13.0]
[39.25, -264.125, 14.1875]
[39.25, -264.125, 14.1875]
[41.375, -253.0625, 11.5]
[38.0, -232.625, 13.0]
[38.0, -232.625, 13.0]
[38.0, -232.625, 13.0]
[24.1875, -213.4375, 16.6875]
[20.375, -192.5, 19.875]
[20.375, -192.5, 19.875]
[20.375, -192.5, 19.875]
[13.875, -172.3125, 17.9375]
[0.5625, -147.5, 13.0625]
[0.5625, -147.5, 13.0625]
[0.5625, -147.5, 13.0625]
[-6.25, -122.0, 10.4375]
[-6.25, -122.0, 10.4375]
[-9.3125, -99.875, 10.5625]
[-9.3125, -99.875, 10.5625]
[-14.0, -81.75, 8.875]
[-23.375, -64.125, 2.0]
[-23.375, -64.125, 2.0]
[-23.375, -64.125, 2.0]
[-23.6875, -48.625, -2.0]
[-20.0625, -35.3125, -2.125]
[-20.0625, -35.3125, -2.125]
[-15.625, -25.9375, -2.1875]
[-15.625, -25.9375, -2.1875]
[-8.625, -16.1875, -3.5]
[-8.625, -16.1875, -3.5]
[-6.0625, -2.6875, -6.125]
[-6.0625, -2.6875, -6.125]
[-7.125, 8.125, -8.125]
[-7.125, 8.125, -8.125]
[-4.1875, 8.125, -6.875]
[-4.1875, 8.125, -6.875]
[2.625, 3.3125, -6.5625]
[2.625, 3.3125, -6.5625]
[7.6875, -4.25, -6.0625]
[7.6875, -4.25, -6.0625]
[10.9375, -12.4375, -5.5]
[10.9375, -12.4375, -5.5]
[13.875, -18.1875, -3.0625]
[13.875, -18.1875, -3.0625]
[10.9375, -17.625, 0.25]
[10.9375, -17.625, 0.25]
[10.9375, -17.625, 0.25]
[3.1875, -0.25, 0.375]
[3.1875, -0.25, 0.375]
[3.1875, -0.25, 0.375]
[-2.6875, 0.5625, 0.5625]
[-2.6875, 0.5625, 0.5625]
[-0.875, 0.3125, 0.25]
[-0.875, 0.3125, 0.25]
[0.25, 2.25, 1.0625]
[0.25, 2.25, 1.0625]
[1.1875, 3.0, 2.3125]
[1.1875, 3.0, 2.3125]
[2.0, 1.4375, 3.0625]
[2.0, 1.4375, 3.0625]
[2.8125, -0.4375, 1.5]
[2.8125, -0.4375, 1.5]
[3.3125, -0.5, 0.25]
[3.3125, -0.5, 0.25]
[1.375, -1.0625, 0.25]
[1.375, -1.0625, 0.25]
[4.1875, -3.1875, 0.6875]
[6.9375, -4.5, 1.0]
[6.9375, -4.5, 1.0]
[6.9375, -4.5, 1.0]
[9.5625, -3.625, 1.125]
[9.5625, -3.625, 1.125]
[10.1875, -4.0625, 2.125]
[10.1875, -4.0625, 2.125]
[12.625, -7.375, 3.4375]
[12.625, -7.375, 3.4375]
[20.5625, -9.625, 5.5]
[20.5625, -9.625, 5.5]
[28.1875, -10.875, 8.5625]
[28.1875, -10.875, 8.5625]
[34.9375, -9.375, 9.6875]
[34.9375, -9.375, 9.6875]
[40.25, -2.125, 10.375]
[40.25, -2.125, 10.375]
[44.9375, 10.375, 12.375]
[44.9375, 10.375, 12.375]
[50.0625, 26.0, 16.0]
[50.0625, 26.0, 16.0]
[49.375, 47.1875, 18.9375]
[49.375, 47.1875, 18.9375]
[50.0, 77.5625, 17.25]
[50.0, 77.5625, 17.25]
[42.25, 106.125, 11.6875]
[29.6875, 132.875, 7.75]
[29.6875, 132.875, 7.75]
[23.3125, 157.0, 3.25]
[23.3125, 157.0, 3.25]
[9.375, 174.0625, -3.1875]
[9.375, 174.0625, -3.1875]
[0.8125, 187.625, -5.3125]
[0.8125, 187.625, -5.3125]
[2.5625, 204.4375, -9.125]
[2.5625, 204.4375, -9.125]
[-2.8125, 218.5625, -12.0]
[-2.8125, 218.5625, -12.0]
[-12.0625, 229.625, -12.75]
[-12.0625, 229.625, -12.75]
[-12.0625, 229.625, -12.75]
[-13.75, 229.375, -12.875]
[-17.75, 227.4375, -12.9375]
[-17.75, 227.4375, -12.9375]
[-26.25, 221.875, -10.4375]
[-26.25, 221.875, -10.4375]
[-27.625, 216.0, -9.0625]
[-27.625, 216.0, -9.0625]
[-29.25, 211.125, -14.5]
[-29.25, 211.125, -14.5]
[-33.0, 205.0, -20.5]
[-33.0, 205.0, -20.5]
[-35.9375, 192.9375, -26.5]
[-35.9375, 192.9375, -26.5]
[-36.0, 169.4375, -29.4375]
[-36.0, 169.4375, -29.4375]
[-36.0, 169.4375, -29.4375]
[-39.0, 143.125, -27.1875]
[-42.3125, 126.75, -27.1875]
[-42.3125, 126.75, -27.1875]
[-36.0625, 108.625, -29.3125]
[-36.0625, 108.625, -29.3125]
[-24.3125, 83.75, -29.125]
[-24.3125, 83.75, -29.125]
[-25.0, 58.0, -26.8125]
[-25.0, 58.0, -26.8125]
[-26.375, 38.0, -23.0625]
[-26.375, 38.0, -23.0625]
[-32.8125, 26.5, -22.3125]
[-32.8125, 26.5, -22.3125]
[-32.8125, 26.5, -22.3125]
[-33.3125, 17.375, -20.9375]
[-22.75, 11.375, -21.3125]
[-22.75, 11.375, -21.3125]
[-8.75, 9.0, -25.9375]
[-8.75, 9.0, -25.9375]
[24.5, 7.625, -38.0]
[24.5, 7.625, -38.0]
[13.375, 0.0625, -48.125]
[13.375, 0.0625, -48.125]
[13.375, 0.0625, -48.125]
[-1.5, -2.3125, -30.4375]
[12.625, -1.375, -17.875]
[12.625, -1.375, -17.875]
[-4.375, -8.5625, -13.125]
[-4.375, -8.5625, -13.125]
[-12.3125, -17.9375, -10.0625]
[-12.3125, -17.9375, -10.0625]
[-4.75, -17.25, -5.0625]
[-4.75, -17.25, -5.0625]
[-4.3125, -12.9375, 0.3125]
[-4.3125, -12.9375, 0.3125]
[-16.125, -11.0625, -0.75]
[-16.125, -11.0625, -0.75]
[-16.125, -11.0625, -0.75]
[2.4375, -11.5625, -10.5625]
[2.4375, -11.5625, -10.5625]
[2.4375, -11.5625, -10.5625]
[-11.875, -10.5625, -16.375]
[-11.875, -10.5625, -16.375]
[-8.4375, -10.1875, -12.5625]
[5.8125, -9.875, -7.375]
[5.8125, -9.875, -7.375]
[7.1875, -16.3125, -3.4375]
[7.1875, -16.3125, -3.4375]
[5.6875, -26.0, -2.6875]
[5.6875, -26.0, -2.6875]
[5.3125, -37.0625, -1.875]
[5.3125, -37.0625, -1.875]
[8.4375, -47.5, -2.4375]
[8.4375, -47.5, -2.4375]
[8.4375, -47.5, -2.4375]
[16.3125, -59.125, -5.5]
[27.9375, -74.0625, -5.75]
[27.9375, -74.0625, -5.75]
[37.375, -94.875, -1.9375]
[37.375, -94.875, -1.9375]
[39.625, -120.5625, -0.125]
[39.625, -120.5625, -0.125]
[40.3125, -144.75, 1.0]
[40.3125, -144.75, 1.0]
[45.8125, -167.6875, 2.75]
[45.8125, -167.6875, 2.75]
[45.8125, -167.6875, 2.75]
[47.3125, -204.4375, 11.125]
[47.3125, -204.4375, 11.125]
[47.3125, -204.4375, 11.125]
[51.75, -214.9375, 13.125]
[51.75, -214.9375, 13.125]
[55.9375, -215.6875, 12.3125]
[55.9375, -215.6875, 12.3125]
[60.4375, -211.75, 13.5625]
[60.4375, -211.75, 13.5625]
[60.4375, -211.75, 13.5625]
[47.625, -211.125, 19.25]
[41.5, -209.3125, 24.875]
[41.5, -209.3125, 24.875]
[42.75, -191.8125, 26.875]
[42.75, -191.8125, 26.875]
[28.4375, -172.875, 24.1875]
[18.5625, -156.0625, 23.6875]
