[59.875, 68.375, 83.3125]
[59.875, 68.375, 83.3125]
[107.375, 87.4375, 93.6875]
[124.4375, 98.3125, 100.0625]
[124.4375, 98.3125, 100.0625]
[110.5, 101.9375, 112.875]
[110.5, 101.9375, 112.875]
[57.125, 109.4375, 136.1875]
[57.125, 109.4375, 136.1875]
[-22.125, 139.75, 152.25]
[-104.0625, 174.125, 140.375]
[-104.0625, 174.125, 140.375]
[-167.8125, 103.5, 97.875]
[-167.8125, 103.5, 97.875]
[-167.8125, 103.5, 97.875]
[-192.4375, 0.6875, 83.8125]
[-90.4375, -48.375, 80.9375]
[-90.4375, -48.375, 80.9375]
[71.125, 12.0, 66.875]
[71.125, 12.0, 66.875]
[124.5625, 56.8125, 59.8125]
[141.625, 68.375, 29.6875]
[141.625, 68.375, 29.6875]
[141.625, 68.375, 29.6875]
[157.1875, 51.25, -17.9375]
[157.1875, 51.25, -17.9375]
[143.875, 15.8125, -41.875]
[143.875, 15.8125, -41.875]
[165.0, -16.25, -38.875]
[165.0, -16.25, -38.875]
[200.125, -28.1875, -38.0]
[200.125, -28.1875, -38.0]
[222.75, -15.3125, -33.625]
[222.75, -15.3125, -33.625]
[137.5, 18.1875, -26.375]
[137.5, 18.1875, -26.375]
[-67.75, 35.8125, -21.75]
[-67.75, 35.8125, -21.75]
[-212.25, 32.1875, -5.3125]
[-212.25, 32.1875, -5.3125]
[-225.25, 10.4375, 18.8125]
[-225.25, 10.4375, 18.8125]
[-195.5, -12.6875, 33.1875]
[-195.5, -12.6875, 33.1875]
[-139.0, -26.0625, 44.625]
[-53.375, -21.625, 64.0]
[-53.375, -21.625, 64.0]
[-53.375, -21.625, 64.0]
[32.8125, -12.0, 73.6875]
[75.125, -16.3125, 73.5]
[75.125, -16.3125, 73.5]
[40.3125, -40.0, 70.3125]
[40.3125, -40.0, 70.3125]
[-20.1875, -61.125, 79.5]
[-20.1875, -61.125, 79.5]
[-49.0, -63.375, 72.4375]
[-49.0, -63.375, 72.4375]
[-44.0, -65.875, 64.1875]
[-44.0, -65.875, 64.1875]
[-5.9375, -62.0, 58.1875]
[-5.9375, -62.0, 58.1875]
[16.0, -51.375, 51.0]
[16.0, -51.375, 51.0]
[-2.75, -42.0, 42.0]
[-2.75, -42.0, 42.0]
[-25.0, -36.75, 36.4375]
[-25.0, -36.75, 36.4375]
[-20.125, -30.5625, 28.1875]
[-20.125, -30.5625, 28.1875]
[-16.0625, -25.8125, 18.0625]
[-23.625, -24.8125, 16.0625]
[-23.625, -24.8125, 16.0625]
[-23.625, -24.8125, 16.0625]
[-20.1875, -19.625, 15.875]
[-20.1875, -19.625, 15.875]
[-9.625, -11.125, 11.5]
[-9.625, -11.125, 11.5]
[0.1875, -2.5625, 11.4375]
[0.375, 0.4375, 9.5]
[0.375, 0.4375, 9.5]
[0.375, 0.4375, 9.5]
