[-27.1875, 12.125, -0.9375]
[20.0, -12.625, 8.75]
[22.5625, -16.5625, 10.75]
[30.9375, -25.9375, 17.9375]
[30.9375, -25.9375, 17.9375]
[30.9375, -25.9375, 17.9375]
[51.0, -25.125, 21.6875]
[51.0, -25.125, 21.6875]
[72.5, -25.0625, 32.125]
[66.1875, -34.5, 46.5625]
[66.1875, -34.5, 46.5625]
[65.25, -37.8125, 59.6875]
[65.25, -37.8125, 59.6875]
[81.5625, -26.5625, 73.6875]
[81.5625, -26.5625, 73.6875]
[83.375, -7.75, 88.75]
[83.375, -7.75, 88.75]
[80.1875, 16.5625, 101.0]
[80.1875, 16.5625, 101.0]
[83.125, 38.625, 111.5]
[83.125, 38.625, 111.5]
[80.3125, 52.1875, 121.8125]
[80.3125, 52.1875, 121.8125]
[75.25, 62.8125, 128.625]
[75.25, 62.8125, 128.625]
[63.25, 74.9375, 135.25]
[63.25, 74.9375, 135.25]
[60.875, 89.0, 142.625]
[60.875, 89.0, 142.625]
[60.625, 98.25, 144.0625]
[60.625, 98.25, 144.0625]
[57.125, 99.5625, 143.5]
[57.125, 99.5625, 143.5]
[47.1875, 94.6875, 142.625]
[47.1875, 94.6875, 142.625]
[38.5625, 88.875, 138.4375]
[38.5625, 88.875, 138.4375]
[30.8125, 83.125, 129.625]
[30.8125, 83.125, 129.625]
[24.8125, 73.6875, 118.625]
[24.8125, 73.6875, 118.625]
[18.8125, 59.1875, 105.125]
[18.8125, 59.1875, 105.125]
[15.5, 39.6875, 97.5625]
[15.5, 39.6875, 97.5625]
[7.125, 22.875, 90.25]
[7.125, 22.875, 90.25]
[6.5, 12.8125, 78.5625]
[6.5, 12.8125, 78.5625]
[13.625, 5.0625, 67.5]
[13.625, 5.0625, 67.5]
[12.8125, -2.4375, 57.6875]
[12.8125, -2.4375, 57.6875]
[5.5, -9.625, 49.375]
[5.5, -9.625, 49.375]
[-0.5625, -13.875, 39.0625]
[-0.5625, -13.875, 39.0625]
[-2.4375, -14.9375, 29.5625]
[-2.4375, -14.9375, 29.5625]
[-0.3125, -18.9375, 19.375]
[-7.9375, -15.5625, 12.625]
[-7.9375, -15.5625, 12.625]
[-12.75, -12.3125, 7.0]
[-12.75, -12.3125, 7.0]
[-8.625, -6.75, -2.8125]
[-8.625, -6.75, -2.8125]
[-12.6875, -9.9375, -11.5625]
[-12.6875, -9.9375, -11.5625]
